hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
-0.75,1.385,1.799,1.845,1.556,-1.17,-0.01,0.84,0.269,0.44
-0.5,1.317,1.488,1.545,1.623,-0.37,-0.24,0.28,0.206,0.408
0,1.929,2.372,2.135,2.136,-1.09,0.95,1.27,1.309,0.77
-1,0.784,1.436,1.094,1.617,-0.1,-0.52,0.03,-0.14,0.502
0.5,0.85,0.769,1.303,0.623,0.46,-0.88,-0.45,-0.148,-0.533
0.25,0.921,1.008,1.257,0.763,-0.73,-0.87,-0.46,-0.461,-0.945
0.5,1.154,1.254,1.682,0.595,0.47,-0.63,-0.39,0.187,-1.253
-0.25,1.202,1.875,1.278,0.903,-0.05,-0.3,1.09,-0.637,-0.661
-1,1.174,2.022,1.917,1.939,-0.2,-0.06,1.03,0.582,0.755
1.25,1.519,1.239,1.958,1.007,0.13,0.21,-0.3,1.086,-0.499
1.5,2.184,1.237,2.538,1.131,1.35,1.12,-0.28,1.809,-0.098
2.25,1.558,0.547,2.042,0.632,2.33,0.13,-1.01,0.985,-0.865
2,1.936,1.042,2.146,0.916,3,1.17,-0.43,1.204,-0.551
-0.5,1.431,2.144,2.193,1.22,0.04,0.16,1.25,0.723,0.197
0.75,1.212,1.311,1.664,0.302,1.87,-0.27,-0.38,-0.062,-1.853
0.25,1.17,1.182,1.514,0.57,0.65,-0.37,-0.26,0.182,-0.991
0.25,0.988,1.198,1.464,0.878,1.65,-0.49,-0.29,0.133,-0.454
0,0.519,1.013,0.973,0.66,0.24,-1.1,-0.59,-0.627,-1.147
0.5,1.367,1.03,1.107,0.352,0.26,-0.21,-0.21,-0.162,-1.051
1.5,2.083,0.963,2.22,0.712,0.08,1.01,-0.85,1.375,-0.918
-0.5,1.898,2.2,2.171,1.973,-0.27,1.11,1.1,1.523,0.554
-1.5,0.801,1.76,1.172,1.72,-0.39,-0.69,0.8,-0.133,0.836
0.5,2.169,1.514,2.639,1.645,0.66,1.44,0.06,2.099,0.432
-1,1.109,1.368,1.66,1.651,-1.98,-0.54,0.11,0.218,0.419
-1,1.114,2.21,1.192,1.404,-0.4,-0.33,1.46,-0.665,0.316
1.75,1.785,1.3,2.148,1.168,2.12,0.94,-0.33,1.184,-0.308
0.25,1.069,1.147,1.819,0.873,-0.7,-0.21,-0.38,0.43,-0.644
0.25,1.053,0.988,1.457,0.747,-0.48,-0.55,-0.48,0.136,-0.926
0.75,1.305,0.509,1.768,0.501,1.51,-0.37,-1.1,0.283,-1.006
0.75,1.339,1.086,2.086,0.583,0.67,-0.08,-0.51,0.553,-1.268
-0.25,1.004,1.739,1.291,0.905,1.65,-0.76,0.87,-0.372,-0.648
1,1.481,1.248,1.799,1.06,-0.81,0.16,-0.22,0.844,-0.217
0.25,1.443,2.116,2.022,2.142,0.35,-0.06,0.92,0.924,0.998
2,2.216,0.845,2.547,0.551,3,1.18,-0.63,1.853,-0.783
1.25,1.705,1.065,2.087,0.571,1.17,0.83,-0.64,1.312,-1.391
-1,1.063,2.352,1.484,1.994,-0.73,-0.46,1.41,0.238,0.683
1.75,1.889,1.493,2.165,0.699,0.45,1.23,0.22,1.38,-0.911
-0.5,0.788,1.225,1.208,1.059,-0.43,-0.8,-0.22,-0.091,-0.212
0.5,1.092,1.108,1.488,0.466,-0.7,-0.46,-0.17,0.254,-0.97
-0.5,0.559,1.164,0.833,0.637,0.02,-0.99,-0.56,-0.795,-1.02
-0.75,0.988,1.528,1.375,1.545,-0.48,-0.47,-0.01,0.091,0.251
0.25,1.274,1.279,1.085,0.316,0.53,-0.54,-0.4,-0.239,-1.816
-0.75,1.152,1.479,1.348,1.798,1.05,-0.3,0.16,-0.543,0.552
0.75,2.045,1.842,2.646,2.099,-0.43,1.21,0.55,2.097,0.905
0.75,1.319,0.968,1.353,0.793,0.63,-0.14,-0.52,-0.358,-0.747
2,2.402,0.537,2.589,0.619,0.74,1.26,-0.99,1.864,-0.928
2,1.63,0.676,1.783,0.52,1.33,0.43,-0.94,0.827,-0.948
0.25,1.053,1.008,1.842,0.921,-1.51,-0.22,-0.65,0.461,-0.397
0.25,1.59,1.429,2.081,1.112,2.32,0.39,-0.25,1.132,-0.603
-1.25,0.983,1.957,1.587,1.625,-2.42,-0.62,1.1,0.154,0.658
-1,1.157,2.186,1.612,1.336,-1.74,-0.7,1.49,0.117,0.494
0.25,1.321,1.021,1.326,0.857,-0.34,-0.31,-0.5,-0.384,-0.66
0.5,1.402,1.251,1.992,0.827,0.73,-0.1,-0.27,0.355,-0.983
1,1.611,1.731,2.025,0.887,1.57,0.09,0.79,0.825,-0.535
1.25,1.776,1.434,2.065,0.633,2.35,0.58,0.02,0.934,-0.953
-0.75,0.963,1.788,1.555,1.827,-2.03,-0.82,0.75,-0.11,0.715
0.25,0.88,1.165,1.414,0.871,-0.31,-0.59,-0.39,0.173,-0.923
0.75,1.196,1.475,1.229,0.684,0.94,-0.23,-0.12,-0.443,-0.92
1.75,1.987,0.912,2.087,0.424,2.28,0.93,-0.32,1.277,-1.011
0.5,1.368,0.601,1.147,0.741,-0.39,-0.37,-0.38,-0.058,-0.277
0.75,1.901,1.13,2.183,0.957,0.47,0.69,-0.37,1.225,-0.632
-1.25,0.833,1.915,1.233,1.567,0.19,0.15,1.32,0.736,0.768
-0.75,0.908,2.206,1.203,1.518,0.13,0.22,1.63,0.822,0.724
1.5,1.567,1.169,2.141,1.083,1.4,0.46,-0.54,1.191,-0.288
-1,1.386,1.676,1.439,1.54,0.53,-0.16,0.69,-0.317,0.41
0.75,1.374,0.817,1.972,0.83,-0.47,-0.04,0.09,0.348,-0.023
1.5,2.011,1.341,1.807,1.09,0.13,0.86,-0.42,0.951,-0.671
0.5,1.112,1.145,1.265,1.013,0.59,-0.35,-0.69,-0.354,-0.523
0.25,1.102,0.908,1.599,0.548,1.31,-0.44,-0.87,0.309,-1.296
0.25,0.978,0.923,1.685,0.8,-0.06,-0.32,-0.6,0.312,-0.707
-0.75,0.987,1.921,1.347,1.417,-1.44,-0.5,0.84,0.029,0.123
0.25,0.737,0.89,0.911,0.884,-0.81,-0.19,0.19,0.196,0.11
0.5,2.246,1.851,2.679,2.094,-0.66,1.62,0.78,2.065,0.729
1.5,1.961,1.981,2.355,1.068,0.26,1.29,0.67,1.452,-0.36
-1.5,1.203,1.861,1.567,1.596,-2.1,-0.32,1.18,0.263,0.832
0.5,1.337,1.475,1.086,0.766,-0.16,-0.4,-0.02,-0.305,-0.762
0.25,0.823,1.124,1.084,1.117,0.66,0.1,-0.59,0.572,-0.306
0.5,0.969,0.909,1.521,0.794,1.44,-0.77,0.06,-0.074,-0.143
-0.25,0.95,1.151,1.176,1.218,-0.05,-0.1,-0.24,0.315,-0.1
1.5,1.783,1.64,2.158,0.752,2.37,0.92,0.33,1.327,-0.751
1,1.874,1.873,1.925,0.919,0.73,0.75,0.52,1.152,-0.506
0.25,1.208,1.148,1.566,0.898,1.77,-0.23,-0.25,0.27,-0.679
0.25,2.303,1.786,1.932,1.232,1.12,1.12,0.6,0.896,-0.096
1.75,2.153,0.987,2.505,0.729,2.35,1.52,-0.29,1.923,-0.577
0.5,1.964,2.317,2.212,1.833,-1.6,1.22,1.26,1.318,0.63
1.25,1.751,1.138,2.152,0.846,1.72,0.43,-0.37,0.976,-0.929
0,0.891,1.123,1.249,0.939,0,0,-0.3,0.598,-0.563
0.75,1.188,1.01,1.21,0.678,2.32,-0.2,-0.72,-0.425,-1.15
-0.25,1.796,2.049,2.372,1.628,-0.96,0.39,1.33,1.365,0.83
-0.75,1.608,1.896,1.957,2.201,-0.75,0.26,0.81,0.409,0.775
-1,1.145,1.808,1.615,1.65,0.06,-0.24,0.9,0.469,0.642
0.25,0.907,1.311,1.611,0.948,0.78,-0.33,-0.42,0.245,-0.758
0.25,1.506,0.927,1.411,0.806,1.54,0.06,0.26,-0.471,0.008
0.5,0.981,0.991,1.321,0.907,0,-0.84,0.03,-0.693,-0.051
0.5,1.116,1.033,1.415,0.778,2.04,-0.46,0.12,0.157,-0.161
0,1.164,1.164,1.065,1.214,-0.13,-0.55,-0.23,-0.379,-0.098
0.25,1.069,1.142,1.146,0.844,-0.73,0.32,-0.24,0.581,-0.794
0.25,1.06,1.142,1.555,0.974,0.99,-0.42,-0.54,0.265,-0.521
1.75,2.183,1.069,1.896,0.774,1.93,0.91,-0.22,0.954,-0.485
-1.5,1.05,2.204,1.43,1.824,-3,-0.63,1.82,-0.153,1.129
0,0.972,1.455,1.153,0.737,-1.33,-0.05,0.11,0.289,-0.595
1.75,2.165,1.355,2.425,0.931,2.68,1.41,-0.04,1.702,-0.586
0.5,2.018,1.915,2.022,1.208,0.68,1.16,0.62,1.417,-0.295
1.5,1.862,1.607,2.27,0.842,1.92,1.02,-0.06,1.46,-0.781
-1,1.142,2.044,1.496,1.776,-0.23,-0.45,1.29,-0.314,1.046
0.25,1.384,0.908,1.342,0.724,0.23,0.01,-0.95,-0.521,-1.087
0.75,1.449,1.297,2.263,0.829,1.33,-0.43,-0.19,1.198,-0.93
-0.75,0.977,2.021,1.603,2.337,-0.73,-0.38,1.31,0.459,0.94
-0.75,1.201,1.942,1.065,1.677,-0.4,-0.33,1.28,-0.577,0.661
0.25,1.095,0.873,1.654,0.871,0.23,-0.18,-0.13,0.256,-0.096
2,2.358,1.262,2.308,0.929,3,2.09,-0.34,1.593,-0.739
-0.5,1.326,1.997,1.906,1.602,0.08,0.02,0.74,0.392,0.136
0,0.921,1.168,1.345,0.91,-0.11,-0.04,0.33,0.686,0.048
1.5,1.922,0.919,2.319,0.92,0.89,0.72,-0.49,1.187,-0.632
-1,0.916,2.136,1.13,2.117,0,-0.05,1.29,0.263,1.378
0.5,1.079,1.356,1.426,1.098,1.35,-0.5,0.03,-0.368,-0.347
0.25,0.78,1.071,1.394,0.89,0.21,-0.64,-0.79,0.127,-0.924
0,0.957,1.177,1.45,1.37,0.75,-0.46,-0.35,0.129,0.005
0,1.271,1.179,1.432,0.783,0.16,-0.2,-0.08,0.17,-0.543
1.75,2.197,1.117,2.367,0.789,2.35,1.52,-0.68,1.719,-1.065
0,2.234,2.556,1.93,1.977,0.76,1.57,2.42,1.378,1.306
1.75,2.087,1.083,2.333,0.676,0,0.91,0.04,1.243,-0.273
1,1.6,1.093,2.343,0.779,1.05,-0.27,-0.17,1.21,-0.475
-0.75,1.124,2.015,1.244,1.673,0.39,0.26,0.69,0.609,0.108
0,1.915,2.189,1.878,1.807,0.12,0.64,1.68,0.935,0.779
2,2.153,1.265,2.293,0.772,2.64,1.34,-0.2,1.525,-0.972
-1.5,0.974,2.093,1.167,2.538,-0.89,-0.99,1.41,-0.256,1.17
0.25,1.209,0.897,1.315,0.894,-1.25,-0.07,-0.27,-0.539,-0.094
0,1.251,1.237,1.561,1.015,-2.42,-0.07,-0.39,0.211,-0.43
2.25,2.565,0.998,2.576,0.81,0.77,2.31,-0.47,2.06,-0.758
-1,1.069,2.226,1.361,1.395,-0.89,-0.78,1.09,-0.45,-0.099
-0.25,1.061,1.448,1.438,0.825,0,-0.02,-0.41,0.632,-0.966
0.75,1.033,1.102,0.996,0.831,2.35,-0.44,0.24,-0.625,-0.054
0.5,1.095,0.825,1.711,0.862,1.28,-0.16,-0.55,0.271,-0.74
0.5,1.273,1.04,1.457,0.642,1.31,-0.35,-0.06,-0.34,-0.388
2,1.85,1.228,1.717,0.812,2.34,1.1,-0.66,1.058,-0.946
0.5,0.938,1.119,1.481,0.757,0.65,-0.76,-0.3,0.106,-0.932
0.5,1.08,1.014,1.279,0.734,0.95,0.19,-0.95,0.617,-1.284
2.25,2.803,1.287,2.647,0.944,1.36,2.59,-0.03,2.232,-0.245
-1.25,0.819,2.348,1.087,1.84,0,-0.44,1.77,0.017,0.779
0,1.365,1.013,1.47,0.787,-0.99,0.1,-0.24,-0.327,-0.532
0.5,1.072,0.868,0.915,0.865,0.39,-0.39,-0.41,-0.653,-0.725
-0.5,1.291,2.116,2.132,1.342,-1.93,-0.54,0.9,1.031,-0.274
0.25,2.203,2.014,2.307,1.742,-1.06,1.37,1,1.474,0.455
0.5,2.359,2.174,2.403,2.05,0.55,1.78,1.41,1.797,1.32
1.5,2.019,1.271,2.227,1.036,0.18,0.85,0.01,1.193,-0.4
0.25,1.204,0.919,1.394,0.754,-0.83,-0.73,-0.76,-0.421,-1.044
-1.5,0.731,2.757,1.426,2.118,-3,-0.55,2.46,0.286,1.501
0.25,0.856,1.367,1.203,1.138,-1.4,-1.07,-0.38,-0.311,-0.326
1.75,1.853,0.983,1.78,0.815,0,0.76,-0.34,0.795,-0.233
-1.25,1.238,1.859,1.421,2.367,-1.13,-0.21,1.06,0.062,1.006
-0.25,1.14,1.191,1.449,1.342,-0.73,0.06,-0.33,0.619,-0.007
0.25,1.294,1.24,1.687,0.852,0.55,0.06,-0.59,0.277,-0.739
0,1.221,1.218,1.469,0.843,0.37,-0.21,0.25,0.166,-0.052
0.25,1.081,1.408,1.452,0.912,-0.71,-0.61,0.18,0.084,-0.461
0.75,1.107,1.377,1.078,0.925,0.89,-0.4,-0.06,-0.459,-0.34
0.25,1.194,1.173,1.374,0.802,-0.03,0.22,-0.26,0.585,-0.894
0.25,1.246,1.177,1.371,0.749,1.8,0.03,0.1,-0.43,-0.22
0,0.903,0.676,1.149,0.847,-0.57,-0.53,-0.6,-0.052,-0.731
-0.75,1.4,2.032,1.332,1.708,0.84,-0.25,0.98,-0.546,0.298
1.75,2.084,0.778,2.273,0.704,1.1,1.21,-1.17,1.419,-1.318
1,2.821,1.973,2.609,1.399,0.11,2.46,0.76,2.282,-0.249
0.25,1.724,2.414,1.755,1.791,1.23,0.65,1.75,1.072,0.736
0.5,1.073,1.059,1.969,0.756,1.26,-0.86,-0.82,0.71,-1.047
0.25,1.894,2.103,2.267,1.969,-0.03,0.63,1.04,1.164,1.234
-1,0.662,1.87,1.277,2.211,-1.4,-0.56,0.73,0.059,0.671
0,0.723,1.087,1.24,0.697,-0.08,-1.21,-0.83,-0.265,-1.085
0.5,1.33,1.046,1.392,0.739,1.65,-0.12,-0.46,0.041,-0.429
1.25,2.051,0.964,1.971,1.279,-0.72,1.02,-0.49,1.136,-0.071
-1.25,1.388,2.825,1.833,2.23,-0.26,0.18,2.33,0.472,1.402
0.25,1.409,1.221,1.62,1.015,-2.08,-0.04,0.01,0.263,-0.251
1.5,2.245,1.15,2.56,0.826,1.39,1.57,0.16,1.861,-0.092
0.25,0.918,1.251,1.246,1.175,0.42,-0.94,-0.47,-0.513,-0.223
0.25,1.274,1.12,1.42,0.799,-2.56,0.13,-0.56,0.587,-1.043
0.25,1.186,1.36,1.265,0.857,-1.67,-0.58,0.09,-0.716,-0.484
1.75,2.294,1.248,2.545,0.855,0,1.65,0.09,1.859,-0.175
0.25,1.067,1.08,1.346,0.741,-0.52,-0.05,-0.64,0.533,-0.886
1.75,2.136,0.649,2.287,0.71,1.1,0.92,-0.75,1.41,-0.816
0.25,1.196,1.484,1.344,0.966,-2.35,-0.07,0.29,-0.402,-0.735
0.25,0.648,1.158,1.275,0.803,1.87,-1.22,-0.5,-0.219,-1.022
0.25,2.083,2.207,2.112,2.297,0.99,1.05,1.32,1.334,1.114
0.5,0.945,0.841,1.056,0.703,-0.37,-0.54,-1.17,-0.47,-1.063
-1,1.521,1.889,1.648,1.343,-3,0.08,0.58,0.338,-0.142
-1.75,1.025,3.004,1.246,2.246,-0.39,-0.63,2.39,-0.031,1.414
0,1.163,0.816,1.392,0.69,-0.65,0.01,-1.1,0.535,-1.311
-0.75,1.273,2.153,1.676,2.086,-0.11,0.05,1.03,0.302,1.225
0.25,0.696,0.985,1.131,0.749,-0.32,-0.7,-0.24,-0.263,-0.31
-1,1.118,2.429,1.401,1.553,-1.93,-0.49,1.71,-0.342,0.452
2,2.191,1.112,1.901,0.995,1.3,1.3,-0.15,1.151,-0.286
0.5,1.394,1.491,1.424,1.087,-0.1,0.12,0.1,0.241,-0.233
2,2,0.944,2.403,0.664,1.1,0.63,-0.7,1.47,-0.681
-0.75,1.014,2.061,1.362,1.759,-2.03,-0.63,1.03,0.002,0.431
0.5,0.68,1.182,1.947,1.112,0.99,-1.42,-0.57,0.323,-0.338
2.25,3.004,1.107,2.642,1.254,1.62,2.29,-0.27,2.244,-0.13
1.75,2.328,1.026,1.923,0.734,0.79,1.37,-0.22,1.148,-0.324
0.5,0.994,1.05,1.295,0.975,0.6,-0.72,-0.2,-0.178,-0.22
-0.75,1.096,1.99,1.253,2.044,-3,-0.52,0.87,-0.496,1.189
-1,1.14,2.044,1.364,1.905,-1.1,-0.03,1.14,0.464,0.683
0.75,0.806,0.925,1.968,0.651,0.57,-1.16,-0.94,0.436,-0.928
0.25,0.742,0.859,1.048,0.697,-0.13,-0.64,-1,-0.338,-1.285
0.5,1.307,1.642,1.823,1.246,1.25,-0.01,0.24,0.476,-0.128
0.25,2.02,2.44,2.439,1.582,1.31,0.87,1.64,1.58,0.483
0.25,1.246,1.044,1.275,1.188,-1.22,0.02,-0.33,0.136,-0.188
3,3.004,1.118,2.673,0.969,1.82,2.22,-0.8,2.13,-0.693
-1,0.976,2.252,1.3,2.311,-0.35,-0.88,1.32,-0.541,1.172
0.25,1.488,1.134,1.495,0.906,0.6,0.09,-0.47,0.231,-0.607
1.75,2.164,1.114,2.323,0.666,0.88,1.11,-0.65,1.428,-1.102
0.25,0.902,1.241,1.43,1.007,-0.06,-0.77,0.02,-0.114,-0.68
0.25,0.908,0.748,1.257,0.716,0.66,-0.3,-0.63,-0.434,-0.8
0.25,0.907,1.057,1.161,0.777,-0.02,-0.99,-0.29,-0.13,-0.252
0,0.985,1.462,1.259,0.9,-1.49,-0.34,0.09,0.301,-0.354
-0.5,1.043,2.156,1.119,1.401,-0.49,-0.32,1.28,-0.312,-0.143
1.5,2.099,1.121,2.322,0.734,2.08,1.58,-0.69,1.736,-1.021
0,2.516,2.902,2.721,2.182,1.38,1.53,2.07,1.891,1.258
0.25,1.599,1.052,1.525,0.653,0.37,0.15,-0.88,0.166,-1.241
0.25,0.824,1.111,1.365,0.888,1.38,-0.92,-0.4,-0.144,-0.575
-1.25,1.049,2.087,1.258,2.144,0,-0.85,1.19,-0.027,0.968
0.25,0.965,1.158,1.138,0.739,-2.03,-0.35,-0.56,0.171,-1
-1.75,0.95,2.904,1.291,2.222,-2.35,-0.31,1.89,-0.485,1.229
0.5,1.083,1.613,1.06,1.03,0.37,-0.23,0.35,-0.338,-0.287
1.75,1.997,0.733,2.296,0.701,2.03,1.39,-0.64,1.701,-0.804
-1,1.137,2.053,1.334,1.433,-1.35,-0.64,1.14,-0.51,-0.06
1.75,2.181,1.035,2.336,0.762,1.61,1.2,-0.36,1.6,-0.327
1.5,2.426,1.156,2.522,1.047,0.75,1.44,-0.02,1.745,-0.546
0.5,1.721,0.988,1.967,0.703,0.82,0.52,-0.76,0.648,-1.259
1.5,2.069,0.941,1.887,1.104,1.43,1.03,-0.45,1.077,-0.264
0.25,1.015,1.747,1.24,1.221,1.92,-0.46,0.25,0.15,-0.146
0.75,1.089,1.008,1.248,0.541,0.85,-0.41,-0.95,-0.486,-1.159
1.5,1.928,0.886,2.399,0.719,3,1.02,-0.46,1.64,-0.418
0.25,1.031,1.054,1.409,0.95,1.34,-0.8,-0.67,-0.115,-0.699
1.25,2.87,2.161,2.76,1.967,-0.27,1.88,1.2,2.148,1.069
-1,0.778,2.401,1.088,1.691,0.28,-0.54,1.32,-0.251,0.593
-1,1.092,2.017,1.31,2.047,-1.17,-0.08,1.56,0.213,0.99
0.75,1.316,0.81,1.989,0.835,-0.44,-0.34,-0.59,0.468,-0.316
0.25,2.037,2.105,2.473,2.146,-0.86,1.05,1.77,1.642,1.211
-0.75,1.47,2.172,2.009,2.242,-1.49,-0.06,0.96,0.458,1.069
0,0.754,1.149,1.266,0.869,1.49,-0.7,-0.44,-0.596,-0.973
0.25,1.189,0.808,1.247,0.673,-1.06,-0.32,-0.55,-0.54,-0.47
0.25,1.034,1.067,1.215,0.87,-0.95,-0.45,-0.54,0.127,-0.583
1,0.882,1.148,0.919,0.651,0.24,-0.5,-0.75,-0.632,-0.975
2.5,2.766,1.049,2.845,0.888,2.56,1.76,-0.25,2.285,-0.653
0.5,0.889,0.763,1.261,0.747,-1.56,-1,-0.55,-0.373,-0.748
-0.75,1.773,2.078,1.554,1.807,-1.01,0.28,0.99,0.183,0.787
-0.75,1.581,2.269,1.785,1.659,-1.8,0.28,1.02,0.365,0.614
1.25,2.12,0.924,2.373,1.082,1.67,1.12,-0.45,1.528,-0.199
1.75,2.069,1.194,1.895,0.747,0,0.78,-0.3,0.983,-0.377
0.25,0.932,1.069,1.244,0.85,-0.46,-0.51,-0.44,-0.032,-0.702
1.75,2.163,1.617,2.612,1.224,1.44,0.96,0.05,1.77,-0.143
0.25,1.046,1.513,1.223,1.19,-1.31,-0.39,0.18,-0.536,-0.06
0,1.065,1.052,1.201,0.64,0,-0.85,-0.82,-0.147,-1.155
0.25,0.627,1.404,0.945,0.905,-1.36,-0.7,-0.15,-0.387,-0.88
2,2.083,0.799,2.19,0.818,0.85,1.73,-0.52,1.587,-0.366
-1.75,0.912,2.771,1.055,2.319,-1.27,-0.54,1.76,0.027,1.519
-0.75,1.186,1.936,1.518,1.464,-1.19,-0.4,0.95,-0.041,0.022
0,0.973,1.316,1.239,0.947,-1.4,-0.46,-0.19,-0.031,-0.782
1.75,2.051,0.971,1.917,0.687,1.46,0.84,-0.85,0.923,-1.052
0.5,0.894,1.17,1.013,0.732,-0.47,-0.51,-0.33,-0.034,-0.449
0.75,1.165,0.687,1.282,0.681,1.4,-0.32,-0.91,-0.53,-0.7
0.25,0.983,1.645,1.177,1.26,-0.44,-0.88,0.09,-0.164,-0.1
1.25,2.222,1.483,2.206,1.167,0.08,2.06,0.2,1.776,-0.039
1.25,2.023,0.865,2.579,1.028,1.72,0.78,-0.62,1.735,-0.375
-1.75,1.066,2.74,1.488,2.453,-3,-0.48,1.68,-0.004,1.589
-0.75,0.554,1.933,0.987,1.616,-1,-0.73,0.89,-0.347,0.202
1.5,2.119,1.145,2.386,0.853,-0.08,1.18,-0.32,1.638,-0.688
0.25,1.111,1.134,1.311,0.87,-1.04,-0.36,-0.27,0.164,-0.801
-0.75,1.575,2.238,1.427,2.043,-1.22,0.03,2.04,-0.066,1.147
0.75,1.453,0.927,1.689,0.637,1.34,0.17,-0.89,0.277,-0.976
0.25,0.855,0.936,1.416,0.78,1.2,-1.26,-0.46,-0.181,-0.42
-0.75,1.241,1.922,1.909,1.686,-0.96,-0.25,0.61,0.288,0.642
-1.25,0.733,2.138,1.3,1.831,-1.63,-0.91,1.24,-0.463,0.871
0.5,0.788,1.105,0.961,0.88,1.1,-0.65,-0.39,-0.459,-0.954
0.5,1.107,0.507,1.222,0.612,0.06,-0.31,-0.78,-0.509,-0.893
2.5,2.624,1.022,2.848,0.853,3,1.61,-0.46,2.4,-0.552
0.25,1.834,2.191,2.363,2.217,0.32,0.8,1.16,1.529,1.047
0,1.085,0.861,1.216,1.095,-0.57,-0.38,-0.57,-0.464,-0.305
0.25,0.996,1.071,1.214,0.927,0,-0.91,-0.4,-0.121,-0.581
0.5,1.238,1.353,1.518,1.229,-1.41,-0.28,-0.22,0.157,-0.201
0.25,0.592,1.11,0.906,0.757,0,-0.63,-0.38,-0.42,-0.44
0.5,1.068,0.712,1.057,0.879,-0.18,-0.41,-0.95,0.004,-0.493
1.5,2.043,1.485,2.066,1.168,1.49,1.05,0.28,1.253,-0.013
1.5,2,1.152,2.256,0.83,2.03,1.08,-0.36,1.399,-0.858
-1,1.046,1.57,1.415,1.39,-1.85,-0.3,0.53,0.188,0.056
-0.25,2.379,2.54,2.201,2.344,1.2,2.07,1.46,1.693,1.436
1.75,1.971,0.742,2.514,0.542,0.71,0.75,-1.32,1.684,-1.392
-1.25,1.088,1.854,1.384,2.021,-0.03,-0.45,0.94,0.147,0.903
1.5,1.506,1.297,2.256,0.901,1.6,0.46,-0.25,1.418,-0.868
0.5,1.129,0.72,1.75,0.692,1.36,-0.55,-0.5,0.082,-0.663
0.5,1.133,1.142,1.278,0.894,0.62,-0.21,-0.34,-0.393,-0.755
0.5,1.589,1.003,1.67,0.796,0.55,0.4,-0.45,0.357,-0.661
-0.75,1.286,2.113,1.302,1.793,-0.95,-0.27,0.95,-0.189,0.749
0.5,0.727,0.935,1.347,0.737,0,-1.43,-1.07,-0.238,-0.937
2.5,2.457,0.987,2.863,0.945,1.72,1.37,-0.44,2.327,-0.255
-0.75,0.904,2.088,0.941,1.975,-1.44,-0.48,1.3,-0.43,1.038
-1.25,0.793,2.472,1.273,2.062,-0.95,-0.89,2.09,-0.398,1.144
0.25,1.108,1.271,1.313,0.883,1.42,-0.18,-0.23,-0.224,-0.991
-1,0.866,1.602,1.307,1.242,-1.15,-0.84,0.62,-0.41,-0.126
-1.25,0.906,2.22,1.155,1.901,-1.1,-1.11,1.76,-0.293,1.021
0.25,0.829,1.228,1.076,1.204,-0.22,-0.68,-0.33,0.004,-0.217
0.75,0.953,1.037,0.948,0.813,1.31,-0.41,-0.66,-0.445,-0.472
0,1.167,1.688,1.654,1.207,-0.95,-0.42,0.66,0,0.221
1.75,1.824,1.179,2.162,0.897,2.12,1.16,-0.29,1.402,-0.74
0.25,0.893,0.843,1.461,0.644,1.78,-1.22,-0.44,-0.112,-0.809
2.5,2.382,0.895,2.866,0.829,3,1.32,-0.32,2.321,-0.468
0.25,1.995,2.135,2.271,1.861,-0.95,1.16,1.06,1.532,0.877
-1.5,1.223,2.394,1.155,2.301,-1.49,-0.32,1.4,-0.285,1.237
2,1.936,0.888,2.604,0.662,0,0.82,-1.11,1.831,-1.059
0,1.077,1.05,1.296,1.027,-0.37,-0.57,-0.21,-0.157,-0.359
0.75,1.557,1.029,1.696,0.951,1.93,0.52,-0.66,0.389,-0.354
0,0.837,0.994,0.948,1.133,-0.49,-0.49,-0.36,-0.332,-0.259
0.25,1.215,0.935,1.446,0.531,0.31,-0.14,-1.03,0.204,-1.384
1.5,1.569,1.324,2.261,0.813,1.98,0.57,-0.32,1.4,-1.041
0.5,1.306,0.833,1.548,0.828,-0.13,-0.06,-0.67,0.174,-0.527
0.5,2.236,2.135,2.251,1.886,0.94,1.79,1.3,1.677,0.998
-1,0.846,1.631,1.212,1.879,-1.74,-0.43,0.75,-0.454,0.935
0.5,1.98,1.598,2.384,1.121,0.02,1.2,0.72,1.686,-0.276
0.25,1.192,1.139,1.419,1.24,0.99,-0.29,-0.35,-0.074,-0.172
0.25,0.988,0.889,1.306,0.691,-0.73,-0.32,-0.29,-0.22,-0.713
0.5,0.796,1.196,1.371,0.796,2.62,-1.11,-0.43,-0.15,-0.503
0.25,1.297,1.22,1.802,0.805,1.65,-0.47,-0.1,0.181,-1.051
2,2.25,1.466,2.868,1.183,0.43,1.32,0.43,2.334,0.209
0,0.781,1.275,1.071,1.019,-1.36,-1.15,-0.14,-0.527,-0.545
-1,0.836,2.078,1.115,1.824,-1.6,-0.66,0.96,0.044,0.779
-0.75,1.115,2.095,0.989,1.923,1.2,-0.3,1.6,-0.315,1.02
1.75,1.558,0.78,1.999,0.772,1.8,0.55,-0.54,1.113,-0.639
0.75,1.513,0.84,1.661,0.48,1.1,0.31,-0.89,0.302,-1.416
1.75,2.185,1.149,2.226,0.966,1.15,1.8,-0.08,1.643,-0.472
0.5,1.25,0.879,1.477,0.811,0.59,-0.28,-0.62,0.18,-0.537
0.5,0.749,0.806,0.793,0.684,0,-0.67,-0.94,-0.385,-1.016
0,1.076,1.057,1.152,1.291,0.13,-0.41,-0.39,-0.28,-0.267
0.25,1.193,1.369,1.505,1.021,-1.25,-0.44,-0.1,0.023,-0.261
